codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
564.022.085;Poste/Travesano 78 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/B.Brow;Black Brown;5.8;0.0;0.0
564.022.084;Poste/Travesano 78 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-B.Brow/Bco;Black Brown;5.8;0.0;0.0
564.022.096;Poste/Travesano 78 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Nog/Nog;Nogal;5.8;0.0;0.0
564.022.080;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Nog;Nogal;5.8;0.0;0.0
564.022.079;Poste/Travesano 78 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Nog/Bco;Nogal;5.8;0.0;0.0
564.022.099;Poste/Travesano 78 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Win/Win;Winchester;5.8;0.0;0.0
564.022.078;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Win;Winchester;5.8;0.0;0.0
564.022.077;Poste/Travesano 78 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Win/Bco;Winchester;5.8;0.0;0.0
564.022.100;Poste/Travesano 78 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Mon/Mon;Monument;5.8;0.0;0.0
564.022.047;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Mon;Monument;5.8;0.0;0.0
564.022.046;Poste/Travesano 78 Euro-Design 60 Bco-Mon/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Mon/Bco;Monument;5.8;0.0;0.0
564.022.101;Poste/Travesano 78 Euro-Design 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Negro M./Negro M.;Euro-Design 60 Mar-Negro M./Negro M.;5.8;0.0;0.0
564.022.053;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Negro M. Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Negro M.;Blanco;5.8;0.0;0.0
564.022.054;Poste/Travesano 78 Euro-Design 60 Bco-Negro M./Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Negro M./Bco;Blanco;5.8;0.0;0.0
564.022.102;Poste/Travesano 78 Euro-Design 60 Mar-Turn/Turn Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Turn/Turn;Turner;5.8;0.0;0.0
564.022.061;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Turn Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Turn;Turner;5.8;0.0;0.0
564.022.062;Poste/Travesano 78 Euro-Design 60 Bco-Turn/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Turn/Bco;Turner;5.8;0.0;0.0
564.022.063;Poste/Travesano 78 Euro-Design 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Sheff A./Sheff A.;Sheffield;5.8;0.0;0.0
564.022.059;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Sheff A.;Sheffield;5.8;0.0;0.0
564.022.060;Poste/Travesano 78 Euro-Design 60 Bco-Sheff A./Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Sheff A./Bco;Sheffield;5.8;0.0;0.0
564.022.103;Poste/Travesano 78 Euro-Design 60 Mar-Hab/Hab M. Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Hab/Hab M.;Habano;5.8;0.0;0.0
564.022.069;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Hab;Habano;5.8;0.0;0.0
564.022.070;Poste/Travesano 78 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Hab/Bco;Habano;5.8;0.0;0.0
564.022.064;Poste/Travesano 78 Euro-Design 60 Mar-Tit/Tit Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Tit/Tit;Titanium;5.8;0.0;0.0
564.022.067;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Tit Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Tit;Titanium;5.8;0.0;0.0
564.022.068;Poste/Travesano 78 Euro-Design 60 Bco-Tit/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Tit/Bco;Titanium;5.8;0.0;0.0
564.022.122;Poste/Travesano 78 Euro-Design 60 Mar-Ant M/Ant M Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Ant M/Ant M;Ant M;5.8;0.0;0.0
564.022.117;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Ant M Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Ant M;Ant M;5.8;0.0;0.0
564.022.124;Poste/Travesano 78Euro-Design60Bco-Ant M/BcoPres.5,8m.;Poste/Travesano;;;;.5.8;0.0;0.0
564.022.125;Poste/Travesano 78 Euro-Design 60 Mar-Black S/Black S Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Black S/Black S;Euro-Design 60 Mar-Black S/Black S;5.8;0.0;0.0
564.022.126;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Black S Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Black S;Blanco;5.8;0.0;0.0
564.022.127;Poste/Travesano 78Euro-Design60Bco-Black S/BcoPres.5,8m.;Poste/Travesano;;;;.5.8;0.0;0.0
564.022.110;Poste/Travesano 78 Euro-Design 60 Mar-Nut/Nut Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Nut/Nut;Nutmeg;5.8;0.0;0.0
564.022.111;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Nut Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Nut;Nutmeg;5.8;0.0;0.0
564.022.112;Poste/Travesano 78Euro-Design60Bco-Nut/BcoPres.5,8m.;Poste/Travesano;;;;.5.8;0.0;0.0
564.022.113;Poste/Travesano 78 Euro-Design 60 Mar-Qrz/Qrz Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Qrz/Qrz;Euro-Design 60 Mar-Qrz/Qrz;5.8;0.0;0.0
564.022.115;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Qrz Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Qrz;Blanco;5.8;0.0;0.0
564.022.120;Poste/Travesano 78Euro-Design60Bco-Qrz/BcoPres.5,8m.;Poste/Travesano;;;;.5.8;0.0;0.0
554.012.376;Hoja Z60 Euro-Design 60 Blanco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Blanco;Euro-Design 60 Blanco;5.8;0.0;0.0
564.012.197;Hoja Z60 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Rob/Rob;Roble;5.8;0.0;0.0
564.012.174;Hoja Z60 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Rob;Roble;5.8;0.0;0.0
564.012.173;Hoja Z60 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Rob/Bco;Roble;5.8;0.0;0.0
564.012.177;Hoja Z60 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Ant L/Ant L;Ant L;5.8;0.0;0.0
564.012.180;Hoja Z60 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Ant L;Ant L;5.8;0.0;0.0
564.012.179;Hoja Z60 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Ant L/Bco;Ant L;5.8;0.0;0.0
564.012.165;Hoja Z60 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-B.Brow/B.Brow;Black Brown;5.8;0.0;0.0
564.012.167;Hoja Z60 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/B.Brow;Black Brown;5.8;0.0;0.0
564.012.166;Hoja Z60 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-B.Brow/Bco;Black Brown;5.8;0.0;0.0
564.012.168;Hoja Z60 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Nog/Nog;Nogal;5.8;0.0;0.0
