codigo_formateado;Descripcion;tipo;tipo_material;acabado;color_real;longitud;Stock;Pedidos
564022.069;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;;Euro-Design 60;Hab;Habano;5.8;0.0;0.0
564022.070;Poste/Travesano 78 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.064;Poste/Travesano 78 Euro-Design 60 Mar-Tit/Tit Pres. 5,8 m.;;Euro-Design 60;Tit;Titanium;5.8;0.0;0.0
564022.067;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Tit Pres. 5,8 m.;;Euro-Design 60;Tit;Titanium;5.8;0.0;0.0
564022.068;Poste/Travesano 78 Euro-Design 60 Bco-Tit/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.122;Poste/Travesano 78 Euro-Design 60 Mar-Ant M/Ant M Pres. 5,8 m.;;Euro-Design 60;Ant M;Ant M;5.8;0.0;0.0
564022.117;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Ant M Pres. 5,8 m.;;Euro-Design 60;Ant M;Ant M;5.8;0.0;0.0
564022.124;Poste/Travesano 78Euro-Design60Bco-Ant M/BcoPres.5,8m.;;;;;5.8;0.0;0.0
564022.125;Poste/Travesano 78 Euro-Design 60 Mar-Black S/Black S Pres. 5,8 m.;;Euro-Design 60;Black S;Black S;5.8;0.0;0.0
564022.126;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Black S Pres. 5,8 m.;;Euro-Design 60;Black S;Black S;5.8;0.0;0.0
564022.127;Poste/Travesano 78Euro-Design60Bco-Black S/BcoPres.5,8m.;;;;;5.8;0.0;0.0
564022.110;Poste/Travesano 78 Euro-Design 60 Mar-Nut/Nut Pres. 5,8 m.;;Euro-Design 60;Nut;Nutmeg;5.8;0.0;0.0
564022.111;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Nut Pres. 5,8 m.;;Euro-Design 60;Nut;Nutmeg;5.8;0.0;0.0
564022.112;Poste/Travesano 78Euro-Design60Bco-Nut/BcoPres.5,8m.;;;;;5.8;0.0;0.0
564022.113;Poste/Travesano 78 Euro-Design 60 Mar-Qrz/Qrz Pres. 5,8 m.;;Euro-Design 60;Qrz;Qrz;5.8;0.0;0.0
564022.115;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Qrz Pres. 5,8 m.;;Euro-Design 60;Qrz;Qrz;5.8;0.0;0.0
564022.120;Poste/Travesano 78Euro-Design60Bco-Qrz/BcoPres.5,8m.;;;;;5.8;0.0;0.0
554012.376;Hoja Z60 Euro-Design 60 Blanco Pres. 5,8 m.;Hoja;Euro-Design 60;;;5.8;0.0;0.0
564012.197;Hoja Z60 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;Hoja;Euro-Design 60;Rob;Roble;5.8;0.0;0.0
564012.174;Hoja Z60 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Hoja;Euro-Design 60;Rob;Roble;5.8;0.0;0.0
