// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
510.313.184;Perfil mosquitero (PVC) Euro-Design Slide Bco-Bco/ Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Bco-Bco/ Pres.;;;5.8
510.313.185;Perfil mosquitero (PVC) Euro-Design Slide Bco-Black S/Bco Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Bco-Black S/Bco Pres.;;;5.8
510.313.174;Perfil mosquitero (PVC) Euro-Design Slide Mar- Nut/Nut Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Mar- Nut/Nut Pres.;;;5.8
510.313.175;Perfil mosquitero (PVC) Euro-Design Slide Bco-Bco/Nut Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Bco-Bco/Nut Pres.;;;5.8
510.313.176;Perfil mosquitero (PVC) Euro-Design Slide Bco-Nut/Bco Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Bco-Nut/Bco Pres.;;;5.8
510.313.177;Perfil mosquitero (PVC) Euro-Design Slide Mar- Qrz/Qrz Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Mar- Qrz/Qrz Pres.;;;5.8
510.313.178;Perfil mosquitero (PVC) Euro-Design Slide Bco-Bco/Qrz Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Bco-Bco/Qrz Pres.;;;5.8
510.313.179;Perfil mosquitero (PVC) Euro-Design Slide Bco-Qrz/Bco Pres. 5,8 m.;Perfil mosquitero (PVC) Euro-Design Slide Bco-Qrz/Bco Pres.;;;5.8
500.323.100;Travesano para mosquitero (PVC) Euro-Design Slide Blanco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Blanco Pres.;;;5.8
510.323.077;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Rob/Rob Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Rob/Rob Pres.;;;5.8
510.323.079;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Rob Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Rob Pres.;;;5.8
510.323.080;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Rob/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Rob/Bco Pres.;;;5.8
510.323.073;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Nog/Nog  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Nog/Nog  Pres.;;;5.8
510.323.075;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Nog Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Nog Pres.;;;5.8
510.323.076;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Nog/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Nog/Bco Pres.;;;5.8
510.323.089;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Ant L/Ant L Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Ant L/Ant L Pres.;;;5.8
510.323.090;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Ant L Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Ant L Pres.;;;5.8
510.323.091;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Ant L/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Ant L/Bco Pres.;;;5.8
510.323.081;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-B.Brow/B.Brow Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-B.Brow/B.Brow Pres.;;;5.8
510.323.083;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/B.Brow Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/B.Brow Pres.;;;5.8
510.323.088;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-B.Brow/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-B.Brow/Bco Pres.;;;5.8
510.323.069;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Win/Win Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Win/Win Pres.;;;5.8
510.323.070;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Win Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Win Pres.;;;5.8
510.323.071;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Win/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Win/Bco Pres.;;;5.8
510.323.012;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Mon/Mon Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Mon/Mon Pres.;;;5.8
510.323.009;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Mon Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Bco/Mon Pres.;;;5.8
510.323.010;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Mon/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide  Bco-Mon/Bco Pres.;;;5.8
510.323.014;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Negro M./Negro M.  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Negro M./Negro M.  Pres.;;;5.8
510.323.041;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Negro M. Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Negro M. Pres.;;;5.8
510.323.043;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Negro M./Bco  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Negro M./Bco  Pres.;;;5.8
510.323.059;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Turn/Turn Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Turn/Turn Pres.;;;5.8
510.323.060;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Turn Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Turn Pres.;;;5.8
510.323.062;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Turn/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Turn/Bco Pres.;;;5.8
510.323.046;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Sheff A./Sheff A. Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Sheff A./Sheff A. Pres.;;;5.8
510.323.048;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Sheff A. Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Sheff A. Pres.;;;5.8
510.323.049;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Sheff A./Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Sheff A./Bco Pres.;;;5.8
510.323.066;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Hab/Hab  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Hab/Hab  Pres.;;;5.8
510.323.067;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Hab Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Hab Pres.;;;5.8
510.323.068;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Hab/Bco  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Hab/Bco  Pres.;;;5.8
510.323.063;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Tit/Tit  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Tit/Tit  Pres.;;;5.8
510.323.064;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Tit Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Bco/Tit Pres.;;;5.8
510.323.065;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Tit/Bco  Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Tit/Bco  Pres.;;;5.8
510.323.099;Travesano para mosquitero(PVC) Euro-Design SlideBco-Ant M/Ant M Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Ant M/Ant M Pres;;;5.8
510.323.100;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Ant M Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Ant M Pres;;;5.8
510.323.101;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Ant M/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Ant M/Bco Pres.;;;5.8
510.323.102;Travesano para mosquitero(PVC) Euro-Design SlideBco-Black S/Black S Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Black S/Black S Pres;;;5.8
510.323.103;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Black S Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Black S Pres;;;5.8
510.323.104;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Black S/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Black S/Bco Pres.;;;5.8
510.323.093;Travesano para mosquitero(PVC) Euro-Design SlideBco-Nut/Nut Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Nut/Nut Pres;;;5.8
510.323.094;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Nut Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Nut Pres;;;5.8
510.323.095;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Nut/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Nut/Bco Pres.;;;5.8
510.323.096;Travesano para mosquitero(PVC) Euro-Design SlideBco-Qrz/Qrz Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Qrz/Qrz Pres;;;5.8
510.323.097;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Qrz Pres5,8m.;Travesano para mosquitero(PVC) Euro-Design SlideBco-Bco/Qrz Pres;;;5.8
510.323.098;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Qrz/Bco Pres. 5,8 m.;Travesano para mosquitero (PVC) Euro-Design Slide Bco-Qrz/Bco Pres.;;;5.8
510.063.204;Remate central 2 Euro-Design Slide Bco-Nog Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Nog;5.8
500.363.100;Guia complementaria para mosquitero (PVC) Euro-Design Slide Blanco Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Blanco Pres.;;;5.8
510.363.086;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Rob Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Rob Pres.;;;5.8
510.363.081;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Nog Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Nog Pres.;;;5.8
510.363.095;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Ant L Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Ant L Pres.;;;5.8
510.363.089;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-B.Brow Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-B.Brow Pres.;;;5.8
510.363.070;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Win Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Win Pres.;;;5.8
510.363.029;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Mon Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Mon Pres.;;;5.8
510.363.036;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Neg M. Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Neg M. Pres.;;;5.8
510.363.037;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Turn Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Turn Pres.;;;5.8
510.363.038;Guia complementaria para mosquitero (PVC) Euro-Design Slide Bco-Sheff A. Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Bco-Sheff A. Pres.;;;5.8
510.363.063;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Hab Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Hab Pres.;;;5.8
510.363.068;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Tit Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Tit Pres.;;;5.8
510.363.107;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Ant M/Ant M Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Ant M/Ant M Pres.;;;5.8
510.363.108;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Black S/Black S Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Black S/Black S Pres.;;;5.8
510.363.105;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Nut/Nut Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Nut/Nut Pres.;;;5.8
510.363.106;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Qrz/Qrz Pres. 5,8 m;Guia complementaria para mosquitero (PVC) Euro-Design Slide Mar-Qrz/Qrz Pres.;;;5.8
221.842.001;Riel de aluminio EDS, HDS y EX Slide Pres. 5,8 m.;Riel de aluminio EDS, HDS y EX Slide Pres.;;;5.8
634.073.001;Perfil de fijacion EDS, HDS y EX Slide Blanco Pres. 5,8 m.;Perfil de fijacion EDS, HDS y EX Slide Blanco Pres.;;;5.8
634.073.003;Perfil de fijacion EDS, HDS y EX Slide Marron Pres. 5,8 m.;Perfil de fijacion EDS, HDS y EX Slide Marron Pres.;;;5.8
221.848.006;Pieza estanqueidad 1 para marco 2 - 3 - N3 Euro-Design Slide Blanco Pres. 500 u.;Pieza estanqueidad;;para marco 2 - 3 - N3 Euro-Design Slide Blanco;
221.848.003;Pieza estanqueidad 1 para marco 2 - 3 - N3 Euro-Design Slide Marron Pres. 500 u.;Pieza estanqueidad;;para marco 2 - 3 - N3 Euro-Design Slide Marron;
221.848.007;Pieza estanqueidad 1 para marco 2 - 3 - N3 Euro-Design Slide Negro Pres. 500 u.;Pieza estanqueidad;;para marco 2 - 3 - N3 Euro-Design Slide Negro;
314.200.001;Pieza estanqueidad 2 para marco 3/mosquitero Euro-Design Slide Blanco Pres. 400 u.;Pieza estanqueidad;;para marco 3/mosquitero Euro-Design Slide Blanco;
314.200.003;Pieza estanqueidad 2 para marco 3/mosquitero Euro-Design Slide Marron Pres. 400 u.;Pieza estanqueidad;;para marco 3/mosquitero Euro-Design Slide Marron;
314.200.005;Pieza estanqueidad 2 para marco 3/mosquitero Euro-Design Slide Negro Pres. 400 u.;Pieza estanqueidad;;para marco 3/mosquitero Euro-Design Slide Negro;
392.005.001;Pieza estanqueidad 3 para marco N4 EDS, marco 2 EX y marco N3 EX Blanco Pres. 400 u. - PRECIO NETO;Pieza estanqueidad;;EX y marco N3 EX Blanco;.
229.294.002;Nivelador para pieza estanqueidad marco N3 Euro-Design Slide Blanco Pres. 1000 u.;Nivelador para pieza estanqueidad marco N;;Euro-Design Slide Blanco;
221.845.001;Junta de cepillo (tipo felpa) 5x6 mm para hoja 1 y 3 EDS, HDS y EX Slide Gris Pres. 1350 m.;Junta de cepillo (tipo felpa);;;6
229.194.001;Junta de cepillo (tipo felpa) 5x3,5 mm para perfil mosquitero EDS y EX Slide Gris Pres. 2000 m.;Junta de cepillo (tipo felpa);;mm para perfil mosquitero EDS y EX Slide Gris;3.5
206.396.001;Cordon para mosquitero PVC y Aluminio EDS, EX y mosquitero fijo Gris Pres. 400 m.;Cordon para mosquitero PVC y Aluminio EDS, EX y mosquitero fijo Gris Pres.;;;400
320.074.001;Tope 27 EDS, HDS y EX Slide Gris Pres. 500 u.;Tope;;;
221.847.001;Tope 22 EDS, HDS y EX Slide Gris Pres. 500 u.;Tope;;;
229.334.001;Angulo de union para travesano N1 Euro-Design Slide Pres. 200 u.;Angulo de union para travesano N;;Euro-Design Slide;
221.850.001;Galce/Soporte de taco acristalar Euro-Design Slide Gris Pres. 1000 u.;Galce/Soporte de taco acristalar Euro-Design Slide Gris Pres.;;;
247.076.002;Soporte para hoja fija (Aluminio) para hoja 1 y 3 Euro-Design Slide y hoja balconera SA High-Design Slide Pres. 200 u.;Soporte para hoja fija (Aluminio) para hoja;;y 3 Euro-Design Slide y hoja balconera SA High-Design Slide;
334.667.001;Tornillo 6x9 mm punta mecha Exelis Pres. 2000 u.;Tornillo;;mm punta mecha Exelis;9
221.856.001;Rueda para mosquitero EDS y EX Slide Pres. 100 u.;Rueda para mosquitero EDS y EX Slide Pres.;;;
221.854.001;Rueda no ajustable para hoja 1 (Maximo 20 kg por rueda) EDS y EX Slide Pres. 75 u.;Rueda no ajustable para hoja;;;
320.073.002;Rueda ajustable para hoja 3 (Maximo 40 kg por rueda) Euro-Design Slide Pres. 4 u.;Rueda ajustable para hoja;;;
217.825.001;Refuerzo 30x15/1,3 mm para marco 2 y 3 Euro- Design Slide Pres. 5,8 m.;Refuerzo;;mm para marco 2 y 3 Euro- Design Slide;1.3
218.539.001;Refuerzo 45x14/1,3 mm para marco N3 Euro-Design Slide Pres. 5,8 m.;Refuerzo;;mm para marco N3 Euro-Design Slide;1.3
218.117.001;Refuerzo 35x10x15/1,3 mm para marco N3 Euro-Design Slide Pres. 5,8 m.;Refuerzo;;mm para marco N3 Euro-Design Slide;1.3
229.154.001;Refuerzo 25x20/1,5 mm para travesano N1 Euro-Design Sllide Pres. 5,8 m.;Refuerzo;;mm para travesano N1 Euro-Design Sllide;1.5
221.858.005;Refuerzo 17x28,3x25/1,5 mm para hoja 1 Euro-Design Slide Pres. 5,8 m.;Refuerzo;;mm para hoja 1 Euro-Design Slide;1.5
221.860.005;Refuerzo 33x28,3x42/2 mm para hoja 3 Euro-Design Slide Pres. 5,8 m.;Refuerzo;;mm para hoja 3 Euro-Design Slide;2
229.164.001;Refuerzo 23x16/1,5 mm para perfil mosquitero (PVC) Euro-Design Slide Pres. 5,8 m.;Refuerzo;;;1.5
229.374.001;Plantilla para perforado de travesano para perfil mosquitero (PVC) Euro-Design Slide Pres. 1 u.;Plantilla para perforado de travesano para perfil mosquitero (PVC) Euro-Design Slide Pres.;;;
500.086.101;Marco balconera 2 SA High-Design Slide Blanco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Blanco;6.2
510.086.107;Marco balconera 2 SA High-Design Slide Mar-Rob/Rob Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Rob/Rob;6.2
510.086.108;Marco balconera 2 SA High-Design Slide Bco-Bco/Rob Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Rob;6.2
510.086.109;Marco balconera 2 SA High-Design Slide Bco-Rob/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Rob/Bco;6.2
510.086.104;Marco balconera 2 SA High-Design Slide Mar-Nog/Nog Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Nog/Nog;6.2
510.086.105;Marco balconera 2 SA High-Design Slide Bco-Bco/Nog Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Nog;6.2
510.086.106;Marco balconera 2 SA High-Design Slide Bco-Nog/Bco Pres. 6,2 m;Marco balconera;;SA High-Design Slide Bco-Nog/Bco;6.2
510.086.084;Marco balconera 2 SA High-Design Slide Mar-Ant L/Ant L Pres. 6,2 m;Marco balconera;;SA High-Design Slide Mar-Ant L/Ant L;6.2
510.086.085;Marco balconera 2 SA High-Design Slide Bco-Bco/Ant L Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Ant L;6.2
510.086.086;Marco balconera 2 SA High-Design Slide Bco-Ant L/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Ant L/Bco;6.2
510.086.087;Marco balconera 2 SA High-Design Slide Mar-B.Brow/B.Brow Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-B.Brow/B.Brow;6.2
510.086.088;Marco balconera 2 SA High-Design Slide Bco-Bco/B.Brow Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/B.Brow;6.2
510.086.089;Marco balconera 2 SA High-Design Slide Bco-B.Brow/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-B.Brow/Bco;6.2
510.086.119;Marco balconera 2 SA High-Design Slide Mar-Win/Win Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Win/Win;6.2
510.086.120;Marco balconera 2 SA High-Design Slide Bco-Bco/Win Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Win;6.2
510.086.122;Marco balconera 2 SA High-Design Slide Bco-Win/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Win/Bco;6.2
510.086.097;Marco balconera 2 SA High-Design Slide Mar-Mon/Mon Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Mon/Mon;6.2
510.086.098;Marco balconera 2 SA High-Design Slide Bco-Bco/Mon Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Mon;6.2
510.086.099;Marco balconera 2 SA High-Design Slide Bco-Mon/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Mon/Bco;6.2
510.086.100;Marco balconera 2 SA High-Design Slide Mar-Negro M./Negro M. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Negro M./Negro M.;6.2
510.086.102;Marco balconera 2 SA High-Design Slide Bco-Bco/Negro M. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Negro M.;6.2
510.086.103;Marco balconera 2 SA High-Design Slide Bco-Negro M./Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Negro M./Bco;6.2
510.086.113;Marco balconera 2 SA High-Design Slide Mar-Turn/Turn  Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Turn/Turn;6.2
510.086.114;Marco balconera 2 SA High-Design Slide Bco-Bco/Turn Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Turn;6.2
510.086.115;Marco balconera 2 SA High-Design Slide Bco-Turn/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Turn/Bco;6.2
510.086.110;Marco balconera 2 SA High-Design Slide Bco-Sheff A./Sheff A.Pres. 6,2 m.;Marco balconera;;;6.2
510.086.111;Marco balconera 2 SA High-Design Slide Bco-Bco/Sheff A. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Sheff A.;6.2
510.086.112;Marco balconera 2 SA High-Design Slide Bco-Sheff A./Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Sheff A./Bco;6.2
510.086.094;Marco balconera 2 SA High-Design Slide Mar-Hab/Hab Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Hab/Hab;6.2
510.086.095;Marco balconera 2 SA High-Design Slide Bco-Bco/Hab Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Hab;6.2
510.086.096;Marco balconera 2 SA High-Design Slide Bco-Hab/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Hab/Bco;6.2
510.086.116;Marco balconera 2 SA High-Design Slide Mar-Tit/Tit Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Tit/Tit;6.2
510.086.117;Marco balconera 2 SA High-Design Slide Bco-Bco/Tit Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Tit;6.2
510.086.118;Marco balconera 2 SA High-Design Slide Bco-Tit/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Tit/Bco;6.2
510.086.131;Marco balconera 2 SA High-Design Slide Mar-Ant M/Ant M Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Ant M/Ant M;6.2
510.086.132;Marco balconera 2 SA High-Design Slide Bco-Bco/Ant M Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Ant M;6.2
510.086.133;Marco balconera 2 SA High-Design Slide Bco-Ant M/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Ant M/Bco;6.2
510.086.124;Marco balconera 2 SA High-Design Slide Mar-Black S/Black S Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Black S/Black S;6.2
510.086.134;Marco balconera 2 SA High-Design Slide Bco-Bco/Black S Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Black S;6.2
510.086.135;Marco balconera 2 SA High-Design Slide Bco-Black S/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Black S/Bco;6.2
510.086.125;Marco balconera 2 SA High-Design Slide Mar-Nut/Nut Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Nut/Nut;6.2
510.086.126;Marco balconera 2 SA High-Design Slide Bco-Bco/Nut Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Nut;6.2
510.086.127;Marco balconera 2 SA High-Design Slide Bco-Nut/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Nut/Bco;6.2
510.086.128;Marco balconera 2 SA High-Design Slide Mar-Qrz/Qrz Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Qrz/Qrz;6.2
510.086.129;Marco balconera 2 SA High-Design Slide Bco-Bco/Qrz Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Qrz;6.2
510.086.130;Marco balconera 2 SA High-Design Slide Bco-Qrz/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Qrz/Bco;6.2
500.386.101;Marco balconera 3 SA High-Design Slide Blanco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Blanco;6.2
510.386.105;Marco balconera 3 SA High-Design Slide Mar-Rob/Rob Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Rob/Rob;6.2
510.386.106;Marco balconera 3 SA High-Design Slide Bco-Bco/Rob Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Rob;6.2
510.386.107;Marco balconera 3 SA High-Design Slide Bco-Rob/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Rob/Bco;6.2
510.386.102;Marco balconera 3 SA High-Design Slide Mar-Nog/Nog Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Nog/Nog;6.2
510.386.103;Marco balconera 3 SA High-Design Slide Bco-Bco/Nog Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Nog;6.2
